Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,C_0603_1608Metric,52.900000,-26.800000,-90.000000,top
C102,1u,C_0603_1608Metric,50.700000,-26.800000,-90.000000,top
C103,22u,C_0805_2012Metric,43.750000,-10.750000,-90.000000,top
C104,22u,C_0805_2012Metric,50.750000,-10.750000,-90.000000,top
C105,DNP,C_0402_1005Metric,47.250000,-14.370000,180.000000,top
C106,22u,C_0805_2012Metric,31.750000,-42.500000,180.000000,top
C107,22u,C_0805_2012Metric,28.750000,-46.250000,90.000000,top
C108,22u,C_0805_2012Metric,31.300000,-56.000000,180.000000,top
C109,100n,C_0402_1005Metric,35.750000,-51.250000,90.000000,top
C201,30pF,C_0402_1005Metric,22.700000,-14.200000,90.000000,top
C202,30pF,C_0402_1005Metric,18.600000,-18.200000,180.000000,top
C203,100n,C_0402_1005Metric,36.700000,-18.700000,0.000000,top
C204,100n,C_0402_1005Metric,20.700000,-21.600000,180.000000,top
C205,1u,C_0402_1005Metric,34.900000,-23.100000,0.000000,top
C206,1u,C_0402_1005Metric,34.900000,-24.200000,0.000000,top
C207,100n,C_0402_1005Metric,36.700000,-19.800000,0.000000,top
C208,100n,C_0402_1005Metric,33.800000,-26.500000,-90.000000,top
C209,100n,C_0402_1005Metric,32.700000,-26.500000,-90.000000,top
C210,100n,C_0402_1005Metric,27.700000,-26.500000,-90.000000,top
C211,100n,C_0402_1005Metric,20.700000,-20.200000,180.000000,top
C212,100n,C_0402_1005Metric,27.700000,-14.400000,90.000000,top
C213,100n,C_0402_1005Metric,31.300000,-14.400000,90.000000,top
C214,100n,C_0402_1005Metric,10.300000,-28.300000,-90.000000,top
C215,100n,C_0402_1005Metric,52.750000,-19.000000,0.000000,top
C216,1u,C_0402_1005Metric,26.500000,-11.500000,-90.000000,top
C217,100n,C_0402_1005Metric,25.400000,-11.500000,-90.000000,top
C301,10u,C_0603_1608Metric,4.550000,-31.650000,180.000000,top
C302,10u,C_0603_1608Metric,6.750000,-46.000000,180.000000,top
C303,150p,C_0402_1005Metric,19.300000,-54.400000,90.000000,top
C304,100n,C_0402_1005Metric,20.950000,-54.900000,180.000000,top
C305,10u,C_0603_1608Metric,9.750000,-37.500000,-90.000000,top
C306,10u,C_0603_1608Metric,9.750000,-41.500000,90.000000,top
C307,100n,C_0402_1005Metric,11.150000,-37.500000,-90.000000,top
C308,100n,C_0402_1005Metric,11.150000,-41.500000,90.000000,top
C309,100n,C_0402_1005Metric,20.000000,-48.100000,0.000000,top
C310,100n,C_0402_1005Metric,12.000000,-35.500000,180.000000,top
C311,1n,C_0402_1005Metric,15.000000,-53.000000,-90.000000,top
C312,10u,C_0603_1608Metric,11.750000,-34.000000,180.000000,top
C313,1n,C_0402_1005Metric,15.500000,-51.500000,0.000000,top
C314,150p,C_0402_1005Metric,10.100000,-51.000000,90.000000,top
C315,100n,C_0402_1005Metric,16.700000,-48.300000,-90.000000,top
C316,150p,C_0402_1005Metric,13.050000,-44.100000,0.000000,top
C401,10u,C_0603_1608Metric,44.000000,-34.000000,180.000000,top
C402,100n,C_0402_1005Metric,44.250000,-35.500000,180.000000,top
C403,1u,C_0603_1608Metric,43.000000,-37.750000,-90.000000,top
C404,1n,C_0402_1005Metric,47.300000,-46.300000,0.000000,top
C405,1n,C_0402_1005Metric,45.000000,-48.500000,180.000000,top
C406,150p,C_0402_1005Metric,50.100000,-49.900000,0.000000,top
C407,100n,C_0402_1005Metric,43.800000,-51.700000,90.000000,top
D101,3.3V,LED_0603_1608Metric,55.600000,-10.750000,90.000000,top
D102,3.3VA,LED_0603_1608Metric,36.250000,-46.250000,-90.000000,top
D201,"PESD3V3L1BA,115",D_SOD-323,5.300000,-16.100000,0.000000,top
D202,"PESD3V3L1BA,115",D_SOD-323,11.800000,-19.025000,-90.000000,top
D203,"PESD3V3L1BA,115",D_SOD-323,11.800000,-22.450000,-90.000000,top
D204,"PESD3V3L1BA,115",D_SOD-323,9.200000,-26.100000,0.000000,top
D205,Act,LED_0603_1608Metric,18.000000,-9.600000,0.000000,top
D301,"PESD3V3L1BA,115",D_SOD-323,18.100000,-57.800000,180.000000,top
D401,"PESD3V3L1BA,115",D_SOD-323,49.000000,-57.800000,180.000000,top
J201,2x5 1.27mm,PinHeader_2x05_P1.27mm_Vertical_SMD,6.200000,-21.100000,90.000000,top
J202,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,61.1000,-22.000000,90.000000,top
J301,031-5640-1010,AMPHENOL-BNC-031-5640-1010,17.000000,-62.000000,180.000000,top
J401,031-5640-1010,AMPHENOL-BNC-031-5640-1010,48.000000,-62.000000,180.000000,top
L101,10n,L_0402_1005Metric,51.800000,-24.500000,180.000000,top
L102,68u,MWSA0603S,47.250000,-4.750000,0.000000,top
L201,CMF3216F-900-2P-T,CMC-1206,47.300000,-21.500000,180.000000,top
R101,10R,R_0805_2012Metric,32.700000,-39.500000,-90.000000,top
R102,464k,R_0402_1005Metric,47.250000,-13.120000,180.000000,top
R103,100k,R_0402_1005Metric,45.000000,-13.120000,180.000000,top
R104,1k,R_0402_1005Metric,57.350000,-11.000000,90.000000,top
R105,1k,R_0402_1005Metric,37.750000,-46.000000,-90.000000,top
R106,1k,R_0402_1005Metric,34.250000,-54.250000,180.000000,top
R107,1k,R_0402_1005Metric,31.750000,-54.250000,180.000000,top
R201,27,R_0402_1005Metric,38.800000,-20.950000,180.000000,top
R202,27,R_0402_1005Metric,38.800000,-22.050000,180.000000,top
R203,1k,R_0402_1005Metric,20.700000,-18.200000,0.000000,top
R204,49R9,R_0402_1005Metric,13.400000,-18.425000,90.000000,top
R205,49R9,R_0402_1005Metric,13.400000,-21.850000,90.000000,top
R206,49R9,R_0402_1005Metric,8.600000,-27.800000,180.000000,top
R207,5k1,R_0402_1005Metric,60.650000,-27.900000,180.000000,top
R208,5k1,R_0402_1005Metric,60.650000,-16.050000,180.000000,top
R209,1k,R_0402_1005Metric,20.750000,-2.200000,90.000000,top
R210,1k,R_0402_1005Metric,14.700000,-2.200000,90.000000,top
R211,1k,R_0402_1005Metric,17.700000,-8.250000,0.000000,top
R212,DNP 10k,R_0402_1005Metric,33.050000,-12.650000,180.000000,top
R213,10k,R_0402_1005Metric,33.050000,22.6,-25.1,180.0,top
R301,49R9,R_0805_2012Metric,5.300000,-34.400000,-90.000000,top
R302,1k,R_0402_1005Metric,17.000000,-55.400000,-90.000000,top
R303,2M2,R_0402_1005Metric,18.100000,-54.400000,-90.000000,top
R304,2M2,R_0402_1005Metric,22.000000,-53.700000,0.000000,top
R305,6k8,R_0402_1005Metric,16.600000,-52.600000,0.000000,top
R306,0R,R_0402_1005Metric,14.000000,-32.100000,90.000000,top
R307,22k,R_0402_1005Metric,13.750000,-52.000000,-90.000000,top
R308,12k,R_0402_1005Metric,11.800000,-51.500000,0.000000,top
R309,1k,R_0402_1005Metric,12.300000,-45.750000,-90.000000,top
R310,1k,R_0402_1005Metric,13.800000,-45.750000,-90.000000,top
R401,0R,R_0402_1005Metric,46.000000,-32.250000,-90.000000,top
R402,10k,R_0402_1005Metric,46.000000,-44.000000,0.000000,top
R403,6k8,R_0402_1005Metric,45.090000,-46.300000,180.000000,top
R404,22k,R_0402_1005Metric,46.800000,-48.000000,90.000000,top
R405,12k,R_0402_1005Metric,48.600000,-48.500000,180.000000,top
R406,49R9,R_0402_1005Metric,47.900000,-53.750000,90.000000,top
SW201,RESET,SW_TL3365AF180QG,18.250000,-4.250000,90.000000,top
SW202,BOOTSEL,SW_TL3365AF180QG,12.250000,-4.250000,90.000000,top
U101,TLV62569DBV,SOT-23-5,47.250000,-10.750000,0.000000,top
U102,HT7533-1,SOT-89-3,32.100000,-46.250000,180.000000,top
U103,TLV9001IDBVR,SOT-23-5,33.000000,-51.750000,180.000000,top
U201,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,28.700000,-20.300000,-90.000000,top
U202,USBLC6-2SC6,SOT-23-6,52.400000,-21.500000,0.000000,top
U203,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,29.600000,-7.400000,90.000000,top
U301,REF3033AIDBZT,SOT-23,6.750000,-43.250000,0.000000,top
U302,TLV9001IDBVR,SOT-23-5,20.500000,-50.750000,270.000000,top
U303,ADC141S626CIMM_NOPB,VSSOP-10,13.250000,-39.500000,0.000000,top
U304,TLV9001IDBVR,SOT-23-5,13.950000,-49.100000,180.000000,top
U401,DAC7562SDGSR,VSSOP-10,45.500000,-39.500000,0.000000,top
U402,TLV9001IDBVR,SOT-23-5,46.600000,-50.900000,0.000000,top
Y201,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,19.300000,-15.400000,180.000000,top
